Job_Offer,Classification
"Sales Managers Francophones - Casablanca - Responsable de Département - Call Centers (métiers de) - De 5 à 10 ans - 5 poste(s) sur Casablanca et région - Maroc - nan - no info - Flexibilité|Extraversion|Organisation|Rationalisme|Implication au travail|Distance émotionnelle|Conventionnel - Votre mission consistera à assurer la responsabilité du chiffre d’affaire, de la marge à générer et d’un nombre d’ouvertures de comptes, à veiller à l'atteinte du Chiffre d'Affaire et de la marge attribué par le management, à animer, coacher, former et recruter chacun des membres de votre équipe. Vous développerez la performance des membres de l’équipe grâce à une revue hebdomadaire sur les performances de chaque commercial et sur l’équipe, avec des entretien mensuels avec les membres de l’équipe sur leurs performances (résultats, problèmes rencontrés, mesure des objectifs, plan d’amélioration des performances si nécessaire), et un entretien annuel (fin d’année) avec chaque membre de l’équipe. Vous assurerez l'évolution des membres de l’équipe au sein de l'entreprise. Vous serez responsable des prévisions des ventes (hebdomadaires, mensuelles et trimestrielles), afin d’optimiser la logistique de l'entreprise et fournirez des données fiables pour la structure commerciale vis à vis de l’équipe de management. Vous aurez un entretien hebdomadaire avec le top management sur le statut du business à un instant donné (Marge et chiffre d’affaire facturés vs objectifs, productivité par commercial, croissance annuelle, marge et chiffre d’affaire par commercial) et fournirez, à la fin de l’année, une revue sur l’année suivante intégrant au moins les différents éléments précités. Vous assurerez la résolution des problèmes commerciaux qui touchent la satisfaction des clients et l’image de l'entreprise vis à vis des prospects. Vous vous impliquerez commercialement dans les affaires importantes. Vous serez le relais des membres de l’équipe auprès de la direction pour mener à bien l’adéquation aux réalités “terrain” des actions entreprises, et auprès des autres services pour faciliter le fonctionnement de l’ensemble. Vous coordonnerez l’évolution des équipes transversales aux équipes de ventes : nécessité d’avoir une vision globale de l’activité. - - Bac+4-5 et disposant de 7-8 ans d’expérience professionnelle avec une expérience probante en encadrement d’équipes commerciales. - Excellent niveau de français et très bon niveau d’anglais. - Expérience à l’international ou en environnement multinationale dans un contexte de forte croissance. - Orientés process, chiffres, résultats. - Sensibles au services client. - Bonnes capacités d’analyse et de gestion du stress. Poste évolutif et Rémunération motivante. Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Technical Support Managers - Casablanca - Responsable de Département - Autres services - De 5 à 10 ans - 10 poste(s) sur Casablanca et région - Maroc - nan - no info - Flexibilité|Extraversion|Organisation|Rationalisme|Implication au travail - La mission des agents de ces service consiste à fournir un support technique de qualité conduisant à un diagnostic des pannes ou problèmes rencontrés par les clients de l'entreprise, traiter les problèmes et les questions des clients par le biais du téléphone et/ou Internet dans des délais standards, gérer l'escalade des problèmes avec l'appui du service support, se maintenir techniquement à jour en termes de hardware et software par le biais de formations internes ou externes et de pratique personnelle, distribuer toute information relative à des problèmes particuliers contribuant à l'amélioration de la qualité du support technique ou du service client et jouer un rôle de veille technologique. - - Bac+4-5 et disposant de 10 ans d’expérience professionnelle au minimum avec une expérience probante en encadrement d’équipes techniques (5 ans minimum). - Bilingue en français/Anglais. - Expérience à l’international ou en environnement multinational dans un contexte de forte croissance. - Orientés process, chiffres, résultats. - Sensibles au service client. - Bonnes capacités d’analyse et de gestion du stress. - Gestion des priorités et adaptation aux changements. Poste évolutif et Rémunération motivante.Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Project Manager (anglais courant) - Casablanca - Responsable de Département - Autres services - De 5 à 10 ans - 2 poste(s) sur Casablanca et région - Maroc - nan - no info - Flexibilité|Extraversion|Organisation|Rationalisme|Implication au travail - - Assurer la responsabilité de tout ou partie des projets définis par la direction des services, le management, le support technique et le siège EMEA (Europe & Middle East Africa); - Vous prendrez la responsabilité de tout ou partie des projets : analyse, établissement de « Business cases », coûts/bénéfices, cahier des charges, évaluation des risques; - Vous organiserez et mettrez en place de façon opérationnelle des projets de type : supervision d’équipes transversales, contrôle, formation, documentation, reporting... - Vous développerez les initiatives pro-actives et les propositions en vue d’optimiser le pilotage et le succès de l’activité du service de support technique. - Vous prendrez la responsabilité de missions éventuellement focalisées sur un département ou une activité. - Vous assurerez la relation et la coordination avec les autres entités de l'entreprise en Europe à chaque fois que les projets le nécessitent. - - Expérience minimum de 5 ans dans un poste de Responsable de Projet en environnement multinational et dans un contexte de forte croissance ou de changement rapide; - Un niveau de français parfait est exigé pour ce poste et un très bon niveau d'anglais est requis, espagnol apprécié; - Formation supérieure (bac +5) ou expérience professionnelle équivalente; - Esprit analytique et expérience réussie de mise en place de process; - Esprit de Synthèse; - Grande sensibilité au « Service Client »; - Excellentes capacités de communication orale et rédactionnelles; - Orientation résultats. Poste évolutif + Rémunération motivante. Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Quality Process Manager (anglais courant) - Casablanca - Production / Qualité / Sécurité / Maintenance - Autres services - De 1 à 3 ans - 2 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'objectivité|Ténacité|Organisation|Rationalisme|Respect des règles - - Prendre en charge les escalades techniques et relationnelles clients non résolus par le canal standard de support technique. - Comprendre les causes initiales et mettre en place les process qualité ainsi que les actions de prévention et de réduction de ces escalades. - Mise en place de process internes d’escalades sur l’activité Customer Services (analyse, plan d’action, implémentation). - Gestion des escalades clients (prise en compte de la demande, analyse, mise en place du plan d’action aux niveaux techniques, légaux et financiers, validation de la solution et de la satisfaction client). - Réduction des escalades (contrôle et prévention). - Reporting d’activité hebdomadaire (causes initiales, coûts…). - Gestion de la communication du Customer Service vers le client interne (ex : forces de vente). - Conduite à son terme de toute escalade technique et relationnelle dans le respect de process qualité optimum. - - Expérience du support technique de 3 ans minimum si possible dans une entreprise internationale de service à forte croissance, avec une réelle expérience de la gestion des process et la pratique d’une démarche qualité. - Anglais indispensable, italien et/ou espagnol seraient un plus. - Formation supérieure technique (bac + 4) ou expérience professionnelle équivalente. Poste évolutif + Rémunération motivante.Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Responsable Ressources Humaines - Casablanca - RH / Personnel / Formation - Autres services - De 5 à 10 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'objectivité|Extraversion|Besoin d'autonomie|Implication au travail|Recherche de nouveauté - Ayant travaillé dans un poste similaire auparavant avec une expérience probante en recrutement que ce soit en cabinet RH/intérim ou directement chez le client, devra recruter des managers pour le compte de cette entreprise et encadrera une équipe de 5 à 10 personnes (du département RH), et disposant d'un excellent sens de la communication afin de dialoguer quotidiennement avec les opérationnels pour comprendre leurs besoins et répondre à leurs attentes en matière de recrutement. - - Ayant travaillé dans un poste similaire auparavant avec une expérience probante en recrutement que ce soit en cabinet RH/intérilm ou directement chez le client. - Excellent sens de la communication. - Anglais courant indispensable, gestion de l'ambiance social, relationnel, technicité RH et organisation... Poste évolutif et Rémunération motivante. Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Chef Comptable - Casablanca - Gestion / Comptabilité / Finance - Autres services - De 5 à 10 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'objectivité|Organisation|Rationalisme|Respect des règles|Conventionnel - Vous aurez à participer au montage des arrêtés comptables mensuels, trimestriels, annuels, notamment en termes de balance (intercoûts des compagnies + analyses des comptes + rapports au groupe, mensuels et trimestriels). Vous serez amené à gérer une d'équipe. Vous serez également en charge des demandes d'investissements, avec étude de rentabilité, études de marchés... - - Maîtrise de la comptabilité générale, analytique et budgétaire; - Expérience dans les remontées d'informations de préférence dans de grands groupes; - Bon niveau d'anglais; - Notions en techniques de consolidation comptables; - Maîtrise parfaite d'Excel (indispensable); - Maîtrise d'Access apprécié; - Profil de type DESCF, MSTCF, grande école de commerce...; - Disponibilité. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Comptable - Casablanca - Gestion / Comptabilité / Finance - Autres services - De 1 à 3 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'objectivité|Organisation|Rationalisme|Respect des règles|Conventionnel - Vous aurez à participer au montage des arrêtés comptables mensuels, trimestriels, annuels, notamment en termes de balance (intercoûts des compagnies + analyses des comptes + rapports au groupe, mensuels et trimestriels). - - Méthodique, rigueur, autonomie; - 2 à 3 ans d'expérience professionnelle dans le même domaine. - 400 Boulevard Zektouni - nan - nan - nan",0
"Assistante du Directeur Financier - Casablanca - Assistanat de Direction / Services Généraux - Gestion / Comptabilité / Finance - De 1 à 3 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Flexibilité|Extraversion|Organisation|Conventionnel|Besoin d'objectivité|Rationalisme|Respect des règles - Vous aurez à gérer l'administratif du montage des arrêtés comptables mensuels, trimestriels, annuels, notamment en termes de balance (intercoûts des compagnies + analyses des comptes + rapports au groupe, mensuels et trimestriels). - - Ayant travaillé dans un grand groupe; - Expérience minimum de 2 ans dans un poste similaire; - Bonne maîtrise du suivi des bons de commande, centralisation des bons de commandes; - Anglais apprécié. Poste évolutif et Rémunération motivante. Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - nan - nan - nan",0
"Contrôleur de Gestion - Marrakech - Gestion / Comptabilité / Finance - Autres services - De 1 à 3 ans - 1 poste(s) sur Autres régions - Maroc - nan - no info - Besoin d'objectivité|Organisation|Rationalisme|Respect des règles|Conventionnel - Vous aurez à participer au montage des arrêtés comptables mensuels, trimestriels, annuels, notamment en termes de balance (intercoûts des compagnies + analyses des comptes + rapports au groupe, mensuels et trimestriels). - - Expérience minimum de 2 ans dans un poste similaire; - Préparer les états intermédiaires pour les reportings hebdomadaires et de fin de mois; - Méthodique, rigueur, autonomie; - Rapidement opérationnel. Poste évolutif + Rémunération motivante. Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Développeur .NET - Casablanca - Informatique / Electronique - Multimédia / Internet - De 3 à 5 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'autonomie|Besoin de réflexion|Ambition|Implication au travail|Recherche de nouveauté - - Au sein d'une équipe de plusieurs développeurs, sous la conduite d'un chef de projet et encadré et formé par un expert vous participerez au développement d'un projet en environnement .NET impliquant les toutes dernières technologies .NET 2.0 - Une formation ou remise à niveau sera assurée si nécessaire. - - Titulaire d'un bac 4/+5 en informatique ou d'un diplôme d'ingénieur, doté d'une bonne expression en Français. -Vous êtes sensibilisé au développement orienté objet et bénéficiez d’une expérience réussie dans un développement web avec ASP ou ASP.Net, ou un développement d’interfaces graphiques en Windows Forms ou bien VB6. - Vous avez travaillé avec un environnement de développement intégré : Visual Basic 6, Visual Studio (toutes versions), Borland Delphi ou Eclipse. - Vous maîtrisez le HTML et la construction d’interfaces graphiques avancées avec des technologies de scripting, vous connaissez le DOM HTML et les CSS. - Vous manipulez une technique de programmation d’accès aux données, ADO.Net ou ADO ou autre. - Vous êtes sensibles à la démarche de test, de documentation et de relecture du code source que vous produisez. - Vous savez faire preuve d’autonomie et êtes demandeur de nouvelles technologies. - Vous savez rechercher par vous-même l’information technique sur les forums et sites spécialisés. - Vous êtes bon communiquant, savez remonter les problèmes et faire état de l’avancement de vos travaux. Poste Evolutif et Rémunération motivante. Confidentialité Garantie. Merci d’envoyer votre dossier de candidature comprenant : un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - nan - nan - nan - nan",1
"Chef de Projet Développement .NET - Casablanca - Informatique / Electronique - Multimédia / Internet - De 5 à 10 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'autonomie|Besoin de réflexion|Ambition|Implication au travail|Recherche de nouveauté - Vous devrez encadrer une équipe de développeurs sur une mission au long court, gérer les planning, veiller à la qualité des produits livrés en binôme avec un pilote de projet / expert technique. - - Titulaire d'un bac 4/+5 en informatique ou d'un diplôme d'ingénieur, doté d'une bonne expression en Français, vous disposez de connaissances techniques pointues dans le domaine du développement de projet .NET et d'une expérience avérée dans conduite de projet et la gestion d'équipe. - Vous maîtrisez les techniques classiques de la gestion de projet ainsi que ces principaux outils (type MS Projet). - Vous maîtrisez l'analyse UML. Vous êtes sensibilisé ou formé à la gestion de projets type nouvelles technologies, au développement unifié ou à la conduite de projet en mode itératif. - Vous comprenez les architectures N-tiers et/ou orientés web services. - Vous connaissez des outils de travail collaboratifs pour les développeurs : outils de l’usine logicielle (software factory), outils de gestion de configuration (partage de sources/versionning), outils de tests, de suivi de défauts, de planification (MS Project) et d’évaluation des temps de développement software. - Vous êtes motivé par le travail d’équipe et les méthodologies de travail collaboratif (extreme programing et agile programing) et la mise en production rapide. - Vous êtes motivé pour progresser rapidement sur les nouvelles technologies .Net et commencer un projet d’envergure. - Vous êtes sensibilisé à la qualité du travail produit et à la recherche de solutions pour améliorer la fiabilité des développements produits. - Capacité d'écoute et de dialogue, rigueur d'analyse et honnêteté intellectuelle. Poste Evolutif et Rémunération motivant. Confidentialité Garantie. Merci d’envoyer votre dossier de candidature comprenant : un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - nan - Poste avec Management - nan - nan",1
"Développeur PHP / MYSQL - Casablanca - Informatique / Electronique - Multimédia / Internet - De 3 à 5 ans - 10 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'autonomie|Besoin de réflexion|Ambition|Implication au travail|Recherche de nouveauté - Au sein d'une équipe de plusieurs développeurs, sous la conduite d'un chef de projet vous participerez au développement de projets en environnement LAMP impliquant les toutes dernières technologies PHP. - - Titulaire d'un bac 4/+5 en informatique, doté d'une bonne expression en Français, vous bénéficiez d’une expérience réussie dans un développement web en environnement LAMP. - Vous maîtrisez le PHP4 et MYSQL. La connaissance et l'expérience de développement PHP5 et une bonne culture de travail dans l'environnement PHP sont des plus particulièrement appréciés. - Vous maîtrisez le HTML et la construction d’interfaces graphiques avancées avec des technologies de scripting, vous connaissez le DOM HTML, les CSS et savez maîtrisez le XML. - Vous êtes sensibles à la démarche de test, de documentation et de relecture du code source que vous produisez. - Vous savez faire preuve d’autonomie et êtes demandeur de nouvelles technologies. - Vous êtes bon communiquant, savez remonter les problèmes et faire état de l’avancement de vos travaux. Poste Evolutif et Rémunération motivante. Confidentialité Garantie. Merci d’envoyer votre dossier de candidature comprenant : un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - nan - nan - nan - nan",1
"Chef de Projet .NET - Rabat - Informatique / Electronique - Multimédia / Internet - De 3 à 5 ans - 10 poste(s) sur Rabat et région - Maroc - nan - no info - Besoin d'autonomie|Besoin de réflexion|Ambition|Implication au travail|Recherche de nouveauté - Vous serez chargé(e) d’organiser et de coordonner le développement et la mise en place de solutions en environnement .Net. Vous devez pouvoir mener vos missions aussi bien en tant que chef de projet (encadrement d'équipes, reporting, suivi, ...) qu’en tant que développeur confirmé. Vous définirez l'architecture .Net à mettre en place, puis vous participerez aux spécifications fonctionnelles à rédiger. - - De formation informatique Bac +4/5. - Vous devez avoir un bon relationnel (contact avec la MO, avec des clients extérieurs, ...) - Vous êtes polyvalent dans votre métier Poste évolutif et Rémunération motivante. Confidentialité Garantie. Merci d’envoyer votre dossier de candidature comprenant un CV mis à jour, une lettre de motivation, une photo, vos prétentions salariales ainsi que vos disponibilités. - 24 avenue de France - Agdal - Poste avec Management - nan - nan",1
"Ingénieur Développeur .NET - Rabat - Informatique / Electronique - Multimédia / Internet - De 1 à 3 ans - 10 poste(s) sur Rabat et région - Maroc - nan - no info - Besoin d'autonomie|Besoin de réflexion|Ambition|Implication au travail|Recherche de nouveauté - En relation avec le Chef de projet, vous participez à la conception technique et prenez en charge le développement de projets pour le compte des clients d’Argaze, sur site ou chez le client. - - Issu(e) d’une école d’ingénieurs en Informatique et vous avez une expérience réussie d’au moins un an dans le développement d’applications web en environnement n-tier. - Vous maîtrisez le développement Web en environnement Microsoft .Net ainsi que les langages et technologies suivants : C#, ASP.net, SQL Server, HTML, CSS, XML et méthodologie UML/UP. - Vous avez de préférence au moins une des certifications suivantes : C# / VB .Net / SQL Server ou Web Services. - Votre motivation et votre sens du travail en équipe sont réels. Poste évolutif et Rémunération motivante. Confidentialité Garantie. Merci d’envoyer votre dossier de candidature comprenant un CV mis à jour, une lettre de motivation, une photo, vos prétentions salariales ainsi que vos disponibilités. - 24 avenue de France - Agdal - nan - nan - nan",1
"Attachés commerciaux B2B - Casablanca, Tanger, Marrakech, Agadir et Oujda - Commercial / Vente / Export - Marketing - nan - 10 poste(s) sur Autres régions - Maroc - nan - no info - Volonté de persuasion|Extraversion|Intuition / Spontanéité|Ambition|Recherche de nouveauté|Flexibilité|Organisation - Intégré dans l’équipe commerciale, votre principale mission consistera à la mise en œuvre des actions prévues dans le cadre de la politique commerciale de l’entreprise, notamment la fidélisation d’un portefeuille existant et la prospection de nouveaux clients. Vous participerez ainsi à l’optimisation des résultats tant quantitatifs que qualitatifs, tout en assurant une veille concurrentielle pertinente. - De formation Commerciale Bac + 4, vous justifiez d’une première expérience dans la vente aux entreprises. Fort de votre savoir-faire, disponible et réactif, vous avez éprouvé vos aptitudes commerciales ainsi que vos capacités d’initiative et d’autonomie dans la gestion de la relation Client. Motivé par la satisfaction du client, vous souhaitez rejoindre des équipes professionnelles et mettre votre tempérament de battant au service d’une stratégie ambitieuse. Plusieurs postes sont à pourvoir sur Casablanca, Tanger, Marrakech, Agadir et Oujda. - nan - nan - nan - nan",0
"Rédacteur Animateur - Casablanca - Journalisme / Traduction - Communication / Publicité / RP - De 3 à 5 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'objectivité|Rationalisme|Besoin d'autonomie|Recherche de nouveauté|Flexibilité|Extraversion|Ambition - - Accompagner les entreprises dans leur démarche de communication interne : conception - rédaction pour les outils de communication interne, conception-rédaction des dossiers de préconisations de solutions de communication interne. - Capacité à mener des entretiens de diagnostic en communication auprès des équipes dirigeantes ou des collaborateurs d’une entreprise. - Animer les réunions d’entreprise : séminaire, conférences, colloques, conventions. - - Formation et expérience journalistique presse écrite ou audiovisuelle. - Connaissance approfondie de l’économie et du monde de l’entreprise. - Expérience dans le domaine de l’animation (conférences, séminaires ou conventions d’entreprise). - Réelle capacité rédactionnelle. Bilingue Français / Arabe. - Nationalité marocaine ou franco-marocaine. Poste évolutif et Rémunération motivante. Confidentialité Garantie. - 104-106, rue Ibnou Majat - Maârif - nan - nan - nan",0
